CENTRO,CIF,GRUPO,U.V.I.,URGENC.,DIRECCIÓN,CPOSTAL,POBLACIÓN,PROVINCIA,COMUNIDAD AUTÓNOMA,TELEFONO,lat,lon
"CLÍNICA  JUANEDA (SERVICIOS INTEGRALES DE SANIDAD, S.L.)",B57074510,A,S,S,"Company, 30  ",07014,PALMA DE MALLORCA,MALLORCA,BALEARES,971 73 16 47 Ext. 4401,39.5694,2.6502
clínica ALANDA,B02698348,C2,NO,NO,C/ VIRGEN DE MONTSERRAT Nº8 D,41011,SEVILLA,SEVILLA,ANDALUCIA,697266255,37.3744,-6.0008
CLINICA ALCORCON (ACCYSI SL),B87300489,C2,,,"C/ MADRID, 18",1979-03-07 00:00:00,ALCORCON,MADRID,MADRID,916106308,,
clínica ALFONSO X,B73232373,C2,N,N,"Alfonso X, 13 entlo",30008,MURCIA,MURCIA,REGIÓN DE MURCIA,968239396,37.987,-1.13
FISITERAPIA DEPORTIVA Y REHABILITACION,B56814882,C2,,,ALFONSO XIII 28,03660,ELDA,ALICANTE,C. VALENCIANA,627890266,38.37546666666667,-0.7901000000000001
clínica ALICANTE SL,B54430921,C2,N,N,"Jaime Segarra, nº2",03010,ALICANTE,ALICANTE,C. VALENCIANA,966359966,38.3611,-0.4887
CLÍNICA ANTONIO VICENTE TRAUMATOLOGÍA Y REHABILITACIÓN,B54647854,C2,N,N,"Carrer Andreu Castillejos, 16",03201,ELCHE,ALICANTE,C. VALENCIANA,965435454,38.2622,-0.7011
clínica ARCANGEL SAN MIGUEL,A31162779,A,S,S,"Beloso Alto, 32",31006,PAMPLONA,NAVARRA,NAVARRA,948296000,42.8067,-1.6315
"clínica ASTURIAS, S.A.",A33121120,B,N,S,"Naranjo de Bulnes, 4-6",33012,OVIEDO,OVIEDO,ASTURIAS,985286000,43.3688,-5.8609
"clínica ATLAS  (Gómez García, Ana Isabel)",79105648T,     C2,N,N,"Pablo Picasso, 15",03160,ALMORADI,ALICANTE,C. VALENCIANA,966782194,38.1088,-0.792
"clínica ATLAS, S.L",B81023020,C2,N,N,"Postas, 81",28300,ARANJUEZ,MADRID,C. MADRID,918925373,40.041349999999994,-3.5804
"clínica AVILES, S.L.",B33515008,C2,N,N,"San Bernardo, 37 bajo",33400,AVILES,ASTURIAS,ASTURIAS,985565858,43.5547,-5.9248
CLÍNICA AZAHARES,B11875051,C2,N,N,"Dr. Rafael Ruiz Mateos, edif. 1, local 2",11405,JEREZ DE LA FRONTERA,CÁDIZ,ANDALUCÍA,956182640,36.6865,-6.1361
CLINICA AZAHARES ,B11896487,C2,N,N,"Teruel, 20",18100,ARMILLA,GRANADA,ANDALUCÍA,958570433,37.1359,-3.6222
clínica BARRERA,B10421212,C2,N,N,"C/ TARIFA, 1 ENTREPLATA",11201,ALGECIRAS,CÁDIZ,ANDALUCÍA,956307462,36.1301,-5.4485
CLÍNICA BEIMAN CÓRDOBA,B11878832,C2,N,N,Avda. del Zafiro s/n. Pol. Ind. El Granadal,14014,CORDOBA,CORDOBA,ANDALUCÍA,957764786,37.89641111111111,-4.771777777777778
CLÍNICA BEIMAN JAÉN,B11878832,C2,N,N,Ctra. Madrid nº 23,23008,JAEN,JAEN,ANDALUCÍA,,37.7692,-3.7903
clínica BEIMAN JEREZ - INSTITUTO ANDALUZ DE MEDICINA DEPORTIVA S.L.,B11878832,C2,N,N,"Jaén, 2",11591,GUADALCACIN – JEREZ DE LA FRONTERA,CÁDIZ,ANDALUCÍA,956158225,36.6865,-6.1361
CLÍNICA BEIMAN LAS CABEZAS,B11927365,C2,N,N,"AVDA. JESUS NAZARENO, 40",41730,LAS CABEZAS DE SAN JUAN,SEVILLA,ANDALUCÍA,954027032,37.02096666666667,-5.931766666666667
clínica BEIMAN SEVILLA - INSTITUTO ANDALUZ  DE MEDICINA DEPORTIVA SL, B11878832,C2,,,"Glorieta de las Cigarreras, 1. Local 3",41011,SEVILLA,SEVILLA,ANDALUCÍA,954089703,37.3744,-6.0008
"clínica BEIMAN SEVILLA, S.L.",B11878832,C2,N,N,"Glorieta de las Cigarreras, 1 local 3",41011,SEVILLA,SEVILLA,ANDALUCÍA,954089703,37.3744,-6.0008
clínica BELTRAN,76128199Q,C2,N,N,Navarro Saez 44,14200,PEÑARROYA,CORDOBA,ANDALUCÍA,957562946,38.304,-5.2696
CLÍNICA BOFILL,B08816225,A,S,S,"Ronda Sant Antoni Maria Claret,20",17002,GIRONA,GIRONA,CATALUÑA,972204350,41.978,2.8206
clínica BOU CENTRO DE MEDICINA Y FISIOTERAPIA,B96457163,C2,N,N,"Concepción Arenal, 6-8-10",46470,MASSANASSA,VALENCIA,C. VALENCIANA,961251995,39.4034,-0.4052
clínica CAMACHO Y CAPELLA SL,B90207648,C2,N,N,C/ Pilar García 1-3 Local 1,41980,LA ALGABA,SEVILLA,ANDALUCÍA,955789407,37.4625,-6.0127
clínica CAMPOAMOR,B37061645,C2,,,"Avda. San Agustín, 12 bajo",37005,SALAMANCA,SALAMANCA ,CASTILLA LEÓN,923282326,40.9742,-5.6597
clínica CANTARRANAS 21,B90396425,C2,,,"C/ Cantarranas, 21 bajo",41530,Morón de la Frontera,Sevilla,Andalucía,954850338,37.12125,-5.4948999999999995
CLÍNICA CAPIO CLIDEBA ,B81959843,A,S,S,"Eladio Salinero de los Santos, 6",06011,BADAJOZ,BADAJOZ,EXTREMADURA,924229050,38.8639,-6.9881
clínica CARRERA-NEREA CARRERA FERNANDEZ,71502248D,C2,N,N,RUA NOVA Nº19 2ºC,36630,CAMBADOS,PONTEVEDRA,GALICIA,986524680,42.5062,-8.6673
"clínica CASIANO, S.L.",B32215196,C2,N,N,"Rúa do Progreso, 161 entreplanta",00nan,OURENSE,OURENSE,GALICIA,988 370479,,
clínica CENTRO ,80093612-E,C2,,,C/ Ricardo Fernandez de la Puente ,06011,BADAJOZ,BADAJOZ,EXTREMADURA ,924479922,38.8639,-6.9881
clínica CENTRO - CENTRO GALLEGO DE REHABILITACION,B15419161,C2,N,N,"C/La Rosa, nº22",15701,SANTIAGO DE COMPOSTELA,CORUÑA,GALICIA,981 57 46 00,42.8805,-8.5457
clínica CIUDAD DE ALGECIRAS S.L (clínica VIRGEN DEL ROSARIO),B91841510,B,N,N,"Austria, s/n",11204,ALGECIRAS,CÁDIZ,ANDALUCÍA,956090493,36.1448,-5.4612
clínica COLON REHABILITACION,44351093,C2,N,N,"Plaza Colon, 6",14001,CORDOBA,CORDOBA,ANDALUCÍA,957485256,37.8916,-4.7727
"clínica COLUMBIA BASAURI, S.L.",B95483665,C2,N,N,"Doctor Jose Garai, 5 bajo",48970,BASAURI,VIZCAYA,PAÍS VASCO,944262397,43.23756,-2.87892
"CLÍNICA COLUMBIA BILBAO, S.A.",A95043469,C2,N,N," Barraincua, 1",48009,BILBAO,VIZCAYA,PAÍS VASCO,944243722,43.2655,-2.9333
clínica CONDADO - CLICON,B27770213,C2,N,N,"C/Antonio Palacios, nº145 Bajo",36400,PORRIÑO,PONTEVEDRA,GALICIA,986 332 602,42.2603,-8.4818
"CLÍNICA CORACHAN, S.A ",A08049983,A,S,S,"Buïgas, 19",08017,BARCELONA,BARCELONA,CATALUÑA,932545800,41.4093,2.1129
clínica CORPORE,70896994T,C2,N,N,"Nuñez de Balboa, 7 bajo",37004,SALAMANCA,SALAMANCA,CASTILLA LEÓN,923614564,40.9746,-5.652
clínica CREU BLANCA,A08664658,A,S,S,"P. Reina Elisenda, 17",08034,BARCELONA,BARCELONA,CATALUÑA,932522522,41.3859,2.1066
CUIDATE FISIOTERAPIA & ESTETICA,B54812805,C2,N,N,"Plaza Fuensanta, 1",30005,MURCIA,MURCIA,REGIÓN DE MURCIA,619113344,37.987,-1.13
"clínica CUME  (Clínica de Unidades Médicas Especializadas, S.L.)",B93078525,C2,N,S,"AVDA DE LA CONSTITUCION, 61, LOCAL 2-3",29631,BENALMADENA,MALAGA,ANDALUCÍA,951248394,36.6033,-4.5424
clínica DE FISIOTERAPIA - JAIME ESPINOSA,B73984148,C2,N,N,"ALAMEDA CONSTITUCIÓN, EDIF. EUROPA LOCAL 21A",30800,LORCA,MURCIA,REGIÓN DE MURCIA,968442834,37.67165,-1.69785
clínica DE FISIOTERAPIA CAMPOY,B18362996,C2,N,N,AVDA ANDALUCIA 7,18300,GRANADA,GRANADA,ANDALUCÍA,958203637,37.168533333333336,-4.151133333333333
clínica DE FISIOTERAPIA COSTA DEL SOL S.C.,29692902J,C2,N,N,"Salvador Vicente, conj. Parquemiel nº 6",29631,BENALMADENA,MÁLAGA,ANDALUCÍA,952446655,36.6033,-4.5424
clínica DE FISIOTERAPIA DE ARANJUEZ,46864975Z,C2,N,N,"Montesinos, 3",28300,ARANJUEZ,MADRID,C. MADRID,918918500,40.041349999999994,-3.5804
clínica DE FISIOTERAPIA FRANCISCO NAVARRO SLU ,B52041910,C2,N,N,"Alvaro de Bazan, 8",52006,MELILLA,MELILLA,MELILLA,952679330,35.2862,-2.949
CLINICA DE FISIOTERAPIA GADIR,49569419A,C,NO,NO,"C/PANAMA, Nº21, LOCAL 8",11100,SAN FERNANDO,CADIZ ,ANDALUCIA,605 32 02 93,36.469800000000006,-6.199450000000001
clínica DE FISIOTERAPIA LUIS FRANCISCO TORIBIO ,12198009M,C2,N,N,C/ CALLOSA DEL SEGURA Nº12 BAJO,03005,ALICANTE ,ALICANTE ,C. VALENCIANA ,965926291,38.3523,-0.4979
CLÍNICA DE FISIOTERAPIA MARGA SEMPERE S.L.,B54727417,C2,N,N,C/POETA MIGUEL HERNANDEZ Nº 38 BAJO,03201,ELCHE,ALICANTE,C. VALENCIANA,965448567,38.2622,-0.7011
clínica DE FISIOTERAPIA PHYSIS ( RAZON SOCIAL : AYARZA Y MIRANDA S.C.),J72221286,C,N,N,C/ EMILIO CASTELAR S/N,11012,CÁDIZ,CÁDIZ,ANDALUCÍA,856171737,36.5298,-6.2947
clínica DE FISIOTERAPIA TELLO , J93660470,C2,n,,Avenida Andalucia 14,29750,ALGARROBO,MALAGA,ANDALUCÍA,658567867/ 666229602/ 952511720,36.7737,-4.03945
clínica DE FISIOTERAPIA Y OSTEOPATIA JESUS ROLDAN,52362309A,C2,N,N,"c/ Arquimedes, 10",04740,ROQUETAS DE MAR,ALMERIA,ANDALUCÍA,950326161/ 622156161,36.7642,-2.6147
clínica DE FISIOTERAPIA Y REHABILITACION OSCAR MARTÍN DÍEZ,02655448Y,C2,N,N,"C/ Suecia, 25 - local B",28022,Madrid,Madrid,C. MADRID,"917759622 /
722 840 299",40.4428,-3.5933
clínica DE FISIOTERAPIA Y RHB GEMA LEON,B14628069,C2,N,N,"Isla Menorca, edificio Califal",14011,CORDOBA,CORDOBA,ANDALUCÍA,957782479,37.91242,-4.828
clínica DE FISIOTERAPIA Y TRAUMA M&M,44651601E,C2,N,N,PASAJE NORLEJAS 6,29002,MALAGA,MALAGA,ANDALUCÍA,951493097,36.7202,-4.4203
clínica DE FISIOTERAPIA Y TRAUMATOLOGIA NEXUS S.L,B73979395,C2,,,"C/ Patricio Valverde Espin, 8",30007,MURCIA,MURCIA,REGIÓN DE MURCIA ,697842070,37.987,-1.13
clínica DE MEDICINA INTEGRAL DIAGONAL S.L.,B64586563,A,S,S,"Sant Mateu, 24-26",08950,ESPLUGUES DE LLOBREGAT,BARCELONA,CATALUÑA,932053213,41.3773,2.0881
CLÍNICA DE REHABILITACIÓN S.C.,J92076934,C2,N,N, Clara Campoamor 1 1º2 ,29700,VELEZ,MÁLAGA,ANDALUCÍA,952507732,36.778,-4.1523
CENTRO MEDICO RECOLETAS CERVANTES,B34002592,C2,N,N,"Verbena, 5, bajo",47005,VALLADOLID,VALLADOLID,CASTILLA LEÓN,983301104,41.6512,-4.7142
CLÍNICA DE REHABILITACIÓN Y FISIOTERAPIA FISIOMADRID,B81180721,C2,N,N,"Los Mesejo, 27",28007,MADRID,MADRID,C. MADRID,914331264,40.4066,-3.6724
clínica DE REHABILITACION Y FISIOTERAPIA VEGA S.L.,B04451746,C2,,,Paseo del Malecón 162 ,04630,Garrucha,Almeria,Andalucía,950133054/ 679653065,37.1805,-1.8232
"clínica DE RHB Y FISIO MORALBE SALUD, S.L.",B97678411,C2,N,N,"Gran Via Marques del Turia, 54",46005,VALENCIA,VALENCIA,C. VALENCIANA,963521795,39.4698,-0.3774
clínica DE RHB Y FISIOTERAPIA VEGA,B0445746,C2,N,N,Paseo del Malecon 162 - Bajo,04630,GARRUCHA,ALMERÍA,ANDALUCÍA,950133054,37.1805,-1.8232
clínica DE URGENCIA Nº Sª DEL PERPETUO SOCORRO DE LAS PALMAS DE GRAN CANARIA S.L.,B35003482,A,S,S,"León y Castillo, 407",35007,LAS PALMAS DE GRAN CANARIA ,LAS PALMAS DE GRAN CANARIA,CANARIAS,928499900,28.0997,-15.4134
clínica DEL VALLE-FISMED DEL VALLE ,B42783175,C,N,N,"AVENIDA SANTA ROSA DE LIMA, 12. BAJO D",29007,MÁLAGA,MÁLAGA,ANDALUCÍA,687512185,36.7202,-4.4203
CLÍNICA DHARMA,B72369887,C2,,,"Avda. Menéndez Pelayo, Nº 188",11300 ·  ,LA LÍNEA DE LA CONCEPCIÓN ,CÁDIZ,ANDALUCÍA,856134576,,
CLÍNICA DIANA,B06799811,C2,N,N,"Avda. Reina Sofía, 34 Bloque 2",06800,MÉRIDA,BADAJOZ,EXTREMADURA,924311216,38.9161,-6.3437
clínica EL OLIVAR,26029404M,C2,N,N,"Juan Vazquez Rengifo nº 1, 2º B",29700,VELEZ MALAGA,MALAGA,ANDALUCÍA,952501821,36.778,-4.1523
clínica EL OLIVO,B82925199,C2,N,N,"MONTES DE BARBANZA, 29",28031,MADRID,MADRID,C. MADRID,912314964,40.377,-3.624
CLÍNICA EL OLIVO COSLADA,B82925199,C2,NO,NO,C/ OCÉANO ATLÁNTICO 6,28821,COSLADA,MADRID,MADRID,667480329,40.4284,-3.5612
clínica EL PILAR DE ZARAGOZA,A50057298,B,S,S,"PASEO RUISEÑORES, 20",50006,ZARAGOZA,ZARAGOZA,ARAGÓN,976275700,41.6398,-0.8902
clínica EL PLANTIO,B24373904,C2,,,Avenida de España nº 3 2ºB,24402,Ponferrada,LEON,CASTILLA LEÓN,610 209 263/ 608 910 198,42.5485,-6.5987
CLÍNICA EL ROMERAL,B29858966,C,N,N,"Pol. Ind. Azucarera, Parcela 32",29200,ANTEQUERA,MÁLAGA,ANDALUCÍA,651320524,37.0192,-4.5601
clínica ESPASANA,B53521845,     C2,N,N,Poeta Hassan Rasid Nº1,03400,VILLENA,ALICANTE,C. VALENCIANA,965 348 421,38.635,-0.8642
clínica ESPERANZA DE TRIANA S.A (HOSPITAL QUIRON SALUD INFANTA LUISA),A41262718,A,S,S,"San Jacinto, 87",41010,SEVILLA,SEVILLA,ANDALUCÍA,954330100,37.3818,-6.0071
clínica FALCON,32069287L,C2,N,N,"AVDA. AMONTILLADO, 1 LOCAL ",11404,JEREZ DE LA FRONTERA,CADIZ,ANDALUCÍA,610199692,36.6865,-6.1361
clínica FISIOMAR S.L.,B72221179,C2,N,N,"Avda. Del Guadalquivir, s/n. Esquina Pío XII, bajo A",11540,SAN LÚCAR DE BARRAMEDA,CÁDIZ,ANDALUCÍA,956368201,36.776133333333334,-6.361433333333333
clínica FISIOMES 2017 S.L,B11940335,C2,N,N,"AVD. MENENDEZ PIDAL, 3, BAJO",46009,VALENCIA,VALENCIA,C. VALENCIANA,963260050,39.4698,-0.3774
clínica FISION MADRID EMBADAJADORES,B86748449,C2,N,N,"Embajadores, 181",28045,MADRID,MADRID,C. MADRID,918250857,40.3963,-3.6924
clínica FISIOTERAPIA BARBARA CANO,46863242Y,C2,,,"C/ Rey, 39",28300,ARANJUEZ,MADRID,MADRID,690012348,40.041349999999994,-3.5804
clínica FISIOTERAPIA MICHAN,75890258X,C2,N,N,"C/ Benito Perez Galdos, 49",11201,ALGECIRAS,CÁDIZ,ANDALUCÍA,856223830/687697934,36.1301,-5.4485
clínica FISIOTERAPIA SANTAMARIA S.L ,B86937653,C2,N,N,AVENIDA CONSTITUCION Nº 53 LOCALES 4 Y 5,28931,MOSTOLES,MADRID,C. MADRID,910011685,40.3223,-3.865
clínica FISIOTERAPIA Y OSTEOPATIA VICTOR LLUCH,B93428134,C2,N,N,C/ HEROE DE SOSTOA 63,29002,MALAGA,MALAGA,ANDALUCÍA,952325307,36.7202,-4.4203
clínica FLOR TRUJILLO FISIOTERAPIA ,75156915E,C2,,,Pasaje de Recogidas,18005,GRANADA,GRANADA,ANDALUCÍA ,958071362,37.17,-3.6003
clínica FULGENCIO CASTELLON (FISIOTERAPIA MOLINA S.L),B73559643,C2,,,C/ PI Y MARGALL 7,30500,MOLINA DEL SEGURA,MURCIA,MURCIA,968386870/687551707,38.0546,-1.2076
clínica GALENO S.L,B27701739,C2,,,c/ Urzaiz 124,36205,VIGO,PONTEVEDRA,GALICIA,986250077,42.2298,-8.7036
"CLÍNICA GIRONA, S.A.",A17001025,A,S,S,"Joan Maragall, 26",17002,GIRONA ,GIRONA ,CATALUÑA,97 2204500,41.978,2.8206
clínica GLOBAL MEDICAL,B19650290,C2,N,N,Pintor Fernando Belda 68,18015,GRANADA,GRANADA,ANDALUCÍA,958842222,37.1912,-3.6255
CLINICA MÉDICA GRAMAD,B06954259,C2,NO,NO,"Calle Ribera del Beiro, 21",18014,Granada,Granada,Andalucía,958888963,37.1933,-3.6156
CLINICAS GUADALHORCE S.L,B92418359,C2,,S,"Ilusión, 16",29120,ALHAURÍN EL GRANDE,MÁLAGA,ANDALUCÍA,952499023,36.64358,-4.68994
clínica HIDROSALUD,79108426H,C2,,,JUAN XXIII,03150,DOLORES,ALICANTE,C. VALENCIANA,966710114,38.1392,-0.77
"clínica IGNASI GOMEZ, S.L. S.P ",B62895859,C2,N,N,"Ter, 20 entre 1º",08026,BARCELONA,BARCELONA,CATALUÑA,932314578,41.4118,2.1838
"Clínica IMIF(Iniciativas Médicas Ibiza y Formentera, SL.) ",B57309957 ,C2,N,N,"C/ Aragón, 9-11",07800,IBIZA,IBIZA,ILLES BALEARS,971 39 21 88,38.9088,1.43065
clínica IMTEMEDIC,B53023057,     C2,N,N,"Avda. Padre Espla, 57 bajo",03013,ALICANTE,ALICANTE,C. VALENCIANA,"965,15,17,00",38.3562,-0.4764
clínica ISTABBA S.L.,B90330853,C2,N,N,AV. DE ANDALUCIA 142,41560,ESTEPA,SEVILLA,ANDALUCÍA,661447840,37.29448,-4.853140000000001
clínica JAIME I DE CATARROJA S.L,B98311947,C2,,,Avenida Ramon y Cajal 26,46470,CATARROJA,VALENCIA,COMUNIDAD VALENCIANA,649408450 / 961262731,39.4034,-0.4052
"clínica JAIME I DE CATARROJA, S.L.",B98311947,C2,N,N,"Avda. Ramon y Cajal, 26",46470,CATARROJA,VALENCIA ,C. VALENCIANA ,961262411,39.4034,-0.4052
clínica KENDALL,B14438840,C2,N,N,"Avda. Guerrita, 27 local",14005,CORDOBA,CORDOBA,ANDALUCÍA,957456749/ 634978762,37.8916,-4.7727
clínica LA ANTIGUA,B19269810,B,N,S,"Constitución, 18",19003,GUADALAJARA,GUADALAJARA,CASTILLA LA MANCHA,949223600,40.629,-3.1707
clínica LA ESTRELLA,77335858Z,C2,,,"Paseo de la Estación, 9 1ºB",23007,JAÉN,JAÉN,ANDALUCÍA,953031101,37.7692,-3.7903
clínica LA HOZ,24284630B,C2,N,N,"SAUCE, 4 URB. AZAHAR",23006,JAEN,JAEN,ANDALUCÍA,953244803,37.7692,-3.7903
CLÍNICA LA LUZ,B86812849,A,S,S,"General Rodrigo, 8",28003,MADRID,MADRID,C. MADRID,914530201,40.4423,-3.7046
clínica LA VICTORIA,B93646487,C,,,"C/ STENDHAL, 5",29007,MALAGA,MALAGA,ANDALUCÍA,657515438,36.7202,-4.4203
CLÍNICA LACONTE,B10428787,C2,N,N,"Luis de Toro, s/n",10600,PLASENCIA,CACERES,EXTREMADURA,927425090,40.0337,-6.0876
clínica LAS LAGUNASHOSPITAL BORIS,B93646487,C2,N,S,"RIO BENAMARGOSA, 15",29651,"MIJAS, LAS LAGUNAS",MALAGA,ANDALUCÍA,951001122/657514438,36.5958,-4.6373
CLÍNICA LEAL GRACIANI (LEGRAMED),B41941329,C2,N,N,"C/Beatriz de Suabia, 100",41005,SEVILLA,SEVILLA,ANDALUCÍA,954655506,37.3813,-5.9654
clínica LEHMBERG,B93575777,C2,N,N,"C/ COMPOSITOR LEHMBERG RUIZ, 10",29007,MALAGA,MALAGA,ANDALUCÍA,952185484,36.7202,-4.4203
clínica LEVANTE,B04825063,C2,N,N,"Carretera de Ronda, 22",04620,VERA,ALMERÍA,ANDALUCÍA,950138891,37.2475,-1.8684
clínica LFC S.L. Puerto Llano,B13607213,C2,N,N,Avenida Andalucía 42,13500,PUERTOLLANO,CIUDAD REAL,CASTILLA LA MANCHA,926413072/653771820,38.688,-4.107
FUNDACIÓN MENDEZ BONAL,G13316443,C2,N,N, CUESTA NORBERTO DUTARI 7-13 BAJO,37007,SALAMANCA,SALAMANCA,CASTILLA LEÓN,923 615 155/653771820,40.9688,-5.6716
CLÍNICA LOS ALAMOS,B16926248,B,N,S,"Avenida Tamarix, 4",11407,JEREZ DE LA FRONTERA,CÁDIZ,ANDALUCÍA,956182244,36.6865,-6.1361
clínica LOS ANGELES-SMU,B06162036,C2,N,N,Avda. Santa Marina 7 ,06005,BADAJOZ,BADAJOZ,EXTREMADURA,924242425,38.8742,-6.9783
"clínica LOS NARANJOS GRUPO HLA, S.L.U",B21561568,A,S,S,"Paseo de los Naranjos, 1                     ",21004, Huelva, Huelva,ANDALUCÍA,915957619,37.2628,-6.9453
clínica MAISONNAVE,B83189217,C2,N,N,"Avda. Maisonnave, 36-2º",03003,ALICANTE,ALICANTE,C. VALENCIANA,965134765,38.3417,-0.4908
clínica MARIA AUXILIADORA REGUERA,B93517068,C2,NO,NO,C/ SAN ANDRES 35,29007,MALAGA,MALAGA,ANDALUCIA,956307462,36.7202,-4.4203
Policlínicas San Blas – Almendralejo,B72852809,C2,N,N,"San Blas, 11",06200,ALMENDRALEJO,BADAJOZ,EXTREMADURA,924671757,38.681,-6.4064
"clínica MEDICA ZENTRUM, S.L.",B75321273,C2,N,N,"Avda. de la Innovación, s/n edificio Sierra Este loc. 1",41020,SEVILLA,SEVILLA,ANDALUCÍA,629659515,37.4005,-5.93
clínica MEDISUR,B72356009,C2,N,N,Avenida Virgen del Carmen nº51,11202,Algeciras,CADIZ,ANDALUCÍA,686 77 33 14 / 625 77 95 61 / 956425077,36.1371,-5.4516
clínica MEDITERRANEO (HOSPITAL MEDITERRANEO GRUPO HLA S.A.U.),A04177093,A,S,S,"Nueva Musa, s/n - Urb. Nueva Almería",04007,ALMERIA,ALMERIA,ANDALUCÍA,950621063,36.8381,-2.4597
"CLÍNICA MEDYFIS (Medicina y Fisioterapia, S.L.)",B96252937,C2,N,N,"Quart, 66",46008,VALENCIA,VALENCIA,C. VALENCIANA,963914159,39.4698,-0.3774
"clínica MI NOVA ALIANÇA,S.L",B25859745,A,S,S,"Prat de la Riba, 79-81",25004,LLEIDA,LLEIDA,CATALUÑA,973727946,41.621,0.6254
CLÍNICA MONEGAL,B86620705,A,S,S,"López Peláez, 15-17",43002,TARRAGONA,TARRAGONA,CATALUÑA,977225012,41.1204,1.2507
"CLÍNICA MONTECARLO S.L. (Clínica Montecarlo Dr. R. Simarro, S.L.)",B97197065,C2,N,N,"Avda. Al Vedat, 21 - 1º",46900,TORRENT,VALENCIA,C. VALENCIANA,961570230,39.4362,-0.46725
clínica MONTPELLIER GRUPO HLA,A50523554,A,N,N,"Via de la Hispanidad, 37º",50012,ZARAGOZA,ZARAGOZA,ARAGÓN,976765431,41.6345,-0.9315
CLINICA MOTION,B42901280,C2,NO,NO,"Calle Virgen de regla, 19",41011,Sevilla,Sevilla,Andalucía,644088755,37.3744,-6.0008
clínica MOTUS,B54829155,C2,N,N,"Santa Bárbara, 15",03203,ELCHE,ALICANTE,C. VALENCIANA,965452929,38.2622,-0.7011
clínica MUJIMSAR S.L.  ,B91978031,C2,N,N,"Avda. República de Nicaragua, 10",41520,EL VISO DEL ALCOR,SEVILLA,ANDALUCÍA,954329483,37.3911,-5.7199
clínica MUTUA BALEAR,G07046196,B,N,S,"Bisbe Campins, 4",07012,PALMA DE MALLORCA,MALLORCA,BALEARES,971 21 34 19 Ext. 10178,39.5694,2.6502
clínica NACHO JURADO,50614293X,C2,,,AVENIDA DE LA LIBERTAD 80 LOCAL 2,29120,ALHAURIN EL GRANDE,MALAGA,ANDALUCÍA,692972515,36.64358,-4.68994
clínica NATAL S.L.,B87024634,C2,N,N,"Maria Moliner, 4",28702,SAN SEBASTIAN DE LOS REYES,MADRID,C. MADRID,916671921,40.5443,-3.6159
"CLÍNICA NAVAPE, SL (NAVACLINIC)",B98442676,C2,N,N,"Calle Milagros Mir, n.7 bajo",46470,Catarroja,Valencia,C. VALENCIANA,961  823  858,39.4034,-0.4052
clínica NEXO,B84553940,C2,N,N,"Padron, 6",28925,ALCORCON,MADRID,C. MADRID,914881579,40.3458,-3.8249
clínica NOBBO,75776728P,C2,NO,NO,PLAZA DEL ZURRAQUE 3,41010,SEVILLA,SEVILLA,ANDALUCÍA,685514398,37.3818,-6.0071
clínica NOSTRA SENYORA  DEL PERPETU SOCORS ,A25001066,A,S,S,"Bisbe Messeguer, 3",25003,LLEIDA,LLEIDA,CATALUÑA,973283148,41.6135,0.6147
CLÍNICA NOSTRA SENYORA DEL REMEI ,R0800741A,A,S,S,"Escorial, 148",08024,BARCELONA,BARCELONA,CATALUÑA,932850010,41.4112,2.1588
clínica NOVOPHYSIO,B11555463,C2,N,,"BARTOLOME DE MEDINA,10",41004,SEVILLA,SEVILLA,ANDALUCÍA,854707003,37.3877,-5.9905
"clínica NTRA SRA DEL ROSARIO ALBACETE GRUPO HLA, S.L.U",B02575793,C2,N,N,"C/ Rosario,102                                         ",02003,Albacete,Albacete,CASTILLA LA MANCHA,967221850,38.9885,-1.8611
clínica NTRA. SRA. DE LOS DOLORES (CENTRO MED. LOS ALCAZARES),B30683486,C2,N,N,"AVDA. LIBERTAD, 86",30710,LOS ALCAZARES,MURCIA,REGIÓN DE MURCIA,968334636,37.7592,-0.83734
HOSPITAL DE DIA HM EL PILAR,B88019005 ,A,S,S,"Paseo de Sancha, 15-17",29016,MÁLAGA,MÁLAGA,ANDALUCÍA,952217606,36.7202,-4.4203
"CLÍNICA NUESTRA SEÑORA DE GUADALUPE, S.A.",A08544363,B,N,N,"Francesc  Moragas, 2",08950,ESPLUGUES DE LLOBREGAT,BARCELONA,CATALUÑA,934702970,41.3773,2.0881
clínica NUESTRA SRA DE LA SEO S.L,B97259808,C2,N,N,AVD. DE LA RIVERA S/N,46800,XATIVA,VALENCIA,C. VALENCIANA,962287326,38.998875,-0.524975
"clínica OSTEODENT, SL.",B23367519,C2,N,N,"C/ VERACRUZ, 10",23680,ALCALA LA REAL,JAEN,ANDALUCÍA,953582007,37.4614,-3.923
clínica PAEZ Y OLIVO,30224619C,C2,N,N,AV. LUIS MONTOTO 150 B. LOC 3,41005,SEVILLA,SEVILLA,ANDALUCÍA,854551266,37.3813,-5.9654
CLÍNICA PAREJO Y CAÑERO S.L. (HOSPITA DE DIA),B14230007,C1,N,N,"Cuesta del Molino, 48-50",14500,PUENTE GENIL,CÓRDOBA,ANDALUCÍA,957609421,37.374225,-4.7482
clínica PARQUE ,A38032504,A,S,N,"Méndez Nuñez, 40",38002,SANTA CRUZ DE TENERIFE,TENERIFE,CANARIAS,922274400,28.4682,-16.2546
